"","period","mean","converge_time","signal","type","good"
"1075",7,1,6,18,"RGG_10","Correct consensus"
"1076",8,1,6,18,"RGG_10","Correct consensus"
"1077",9,1,6,18,"RGG_10","Correct consensus"
"1078",10,1,6,18,"RGG_10","Correct consensus"
"1079",11,1,6,18,"RGG_10","Correct consensus"
"1080",12,1,6,18,"RGG_10","Correct consensus"
"1081",1,0.9,4,19,"RGG_10","Correct consensus"
"1082",2,1,4,19,"RGG_10","Correct consensus"
"1083",3,1,4,19,"RGG_10","Correct consensus"
"1084",4,1,4,19,"RGG_10","Correct consensus"
"1085",5,1,4,19,"RGG_10","Correct consensus"
"1086",6,1,4,19,"RGG_10","Correct consensus"
"1087",7,1,4,19,"RGG_10","Correct consensus"
"1088",8,1,4,19,"RGG_10","Correct consensus"
"1089",9,1,4,19,"RGG_10","Correct consensus"
"1090",10,1,4,19,"RGG_10","Correct consensus"
"1091",11,1,4,19,"RGG_10","Correct consensus"
"1092",12,1,4,19,"RGG_10","Correct consensus"
"1093",1,0.6,6,20,"RGG_10","Correct consensus"
"1094",2,0.6,6,20,"RGG_10","Correct consensus"
"1095",3,0.9,6,20,"RGG_10","Correct consensus"
"1096",4,1,6,20,"RGG_10","Correct consensus"
"1097",5,1,6,20,"RGG_10","Correct consensus"
"1098",6,1,6,20,"RGG_10","Correct consensus"
"1099",7,1,6,20,"RGG_10","Correct consensus"
"1100",8,1,6,20,"RGG_10","Correct consensus"
"1101",9,1,6,20,"RGG_10","Correct consensus"
"1102",10,1,6,20,"RGG_10","Correct consensus"
"1103",11,1,6,20,"RGG_10","Correct consensus"
"1104",12,1,6,20,"RGG_10","Correct consensus"
"1105",1,0.6,5,21,"RGG_10","Correct consensus"
"1106",2,0.6,5,21,"RGG_10","Correct consensus"
"1107",3,0.9,5,21,"RGG_10","Correct consensus"
"1108",4,1,5,21,"RGG_10","Correct consensus"
"1109",5,1,5,21,"RGG_10","Correct consensus"
"1110",6,1,5,21,"RGG_10","Correct consensus"
"1111",7,1,5,21,"RGG_10","Correct consensus"
"1112",8,1,5,21,"RGG_10","Correct consensus"
"1113",9,1,5,21,"RGG_10","Correct consensus"
"1114",10,1,5,21,"RGG_10","Correct consensus"
"1115",11,1,5,21,"RGG_10","Correct consensus"
"1116",12,1,5,21,"RGG_10","Correct consensus"
"1117",1,0.7,4,22,"RGG_10","Correct consensus"
"1118",2,1,4,22,"RGG_10","Correct consensus"
"1119",3,1,4,22,"RGG_10","Correct consensus"
"1120",4,1,4,22,"RGG_10","Correct consensus"
"1121",5,1,4,22,"RGG_10","Correct consensus"
"1122",6,1,4,22,"RGG_10","Correct consensus"
"1123",7,1,4,22,"RGG_10","Correct consensus"
"1124",8,1,4,22,"RGG_10","Correct consensus"
"1125",9,1,4,22,"RGG_10","Correct consensus"
"1126",10,1,4,22,"RGG_10","Correct consensus"
"1127",11,1,4,22,"RGG_10","Correct consensus"
"1128",12,1,4,22,"RGG_10","Correct consensus"
"1129",1,0.7,4,23,"RGG_10","Correct consensus"
"1130",2,1,4,23,"RGG_10","Correct consensus"
"1131",3,1,4,23,"RGG_10","Correct consensus"
"1132",4,1,4,23,"RGG_10","Correct consensus"
"1133",5,1,4,23,"RGG_10","Correct consensus"
"1134",6,1,4,23,"RGG_10","Correct consensus"
"1135",7,1,4,23,"RGG_10","Correct consensus"
"1136",8,1,4,23,"RGG_10","Correct consensus"
"1137",9,1,4,23,"RGG_10","Correct consensus"
"1138",10,1,4,23,"RGG_10","Correct consensus"
"1139",11,1,4,23,"RGG_10","Correct consensus"
"1140",12,1,4,23,"RGG_10","Correct consensus"
"1141",1,0.6,6,24,"RGG_10","Correct consensus"
"1142",2,0.7,6,24,"RGG_10","Correct consensus"
"1143",3,0.9,6,24,"RGG_10","Correct consensus"
"1144",4,1,6,24,"RGG_10","Correct consensus"
"1145",5,1,6,24,"RGG_10","Correct consensus"
"1146",6,1,6,24,"RGG_10","Correct consensus"
"1147",7,1,6,24,"RGG_10","Correct consensus"
"1148",8,1,6,24,"RGG_10","Correct consensus"
"1149",9,1,6,24,"RGG_10","Correct consensus"
"1150",10,1,6,24,"RGG_10","Correct consensus"
"1151",11,1,6,24,"RGG_10","Correct consensus"
"1152",12,1,6,24,"RGG_10","Correct consensus"
